level_0,level_1,level_2,incorr4_data
10,0,20,-8.089021441747286e-07
10,0,21,-3.964862630673732e-07
10,0,22,2.874569460888729e-07
10,0,23,9.110715063134151e-07
10,0,24,1.1385589629336662e-06
10,1,0,2.4652071082436602e-05
10,1,1,2.3619726186539618e-05
10,1,2,2.214160955442651e-05
10,1,3,2.1370119384417222e-05
10,1,4,2.152589909444971e-05
10,1,5,2.1980466008360918e-05
10,1,6,2.21216938029482e-05
10,1,7,2.2232662344558716e-05
10,1,8,2.3080647568488825e-05
10,1,9,2.5082307193723423e-05
10,1,10,2.76075389159104e-05
10,1,11,2.952153198173689e-05
10,1,12,2.991652626419851e-05
10,1,13,2.870499490227542e-05
10,1,14,2.6199699304248376e-05
10,1,15,2.2803242949165294e-05
10,1,16,1.8789725716352097e-05
10,1,17,1.4748148024985907e-05
10,1,18,1.1469951448747162e-05
10,1,19,9.712516620429478e-06
10,1,20,9.436637769440377e-06
10,1,21,9.970915710585796e-06
10,1,22,1.0390005054641588e-05
10,1,23,1.0308448844528924e-05
10,1,24,9.80774581029446e-06
11,0,0,3.661353603081458e-06
11,0,1,3.2509331988542624e-06
11,0,2,2.6417183501343177e-06
11,0,3,2.4489398493855605e-06
11,0,4,3.1671781943178273e-06
11,0,5,4.595593123025716e-06
11,0,6,6.052938714830222e-06
11,0,7,6.879605746430988e-06
11,0,8,7.020106672841781e-06
11,0,9,6.862268594369568e-06
11,0,10,6.826322452836817e-06
11,0,11,6.841776587039627e-06
11,0,12,6.511403723091314e-06
11,0,13,5.446622243869076e-06
11,0,14,3.7748778248420398e-06
11,0,15,2.0135130698594345e-06
11,0,16,8.132077831065509e-07
11,0,17,4.251208401594156e-07
11,0,18,7.282534278890162e-07
11,0,19,1.33895957509368e-06
11,0,20,2.0721505588427265e-06
11,0,21,2.9146755402999073e-06
11,0,22,4.004215284662734e-06
11,0,23,5.237291121200339e-06
11,0,24,6.335100719110677e-06
11,1,0,-9.125234782466436e-06
11,1,1,-2.427551989761024e-06
11,1,2,1.1077568325613244e-06
11,1,3,2.095614613003408e-06
11,1,4,2.29630117030192e-06
11,1,5,2.75581646306027e-06
11,1,6,2.973594608847064e-06
11,1,7,1.6694059262149915e-06
11,1,8,-1.8143022586860095e-06
11,1,9,-6.550280620394729e-06
11,1,10,-1.048637729746479e-05
11,1,11,-1.1681533388937387e-05
11,1,12,-9.623247167535082e-06
11,1,13,-5.4349534266714505e-06
11,1,14,-1.1443392565969171e-06
11,1,15,1.6794485668616152e-06
11,1,16,2.692917627537792e-06
11,1,17,2.778989478912047e-06
11,1,18,3.0853411322370706e-06
11,1,19,4.1356842009545734e-06
11,1,20,5.4518238260449655e-06
11,1,21,6.182278685892427e-06
11,1,22,5.75328312539731e-06
11,1,23,4.286371831974898e-06
11,1,24,2.2173741275123186e-06
12,0,0,1.7707167253424108e-06
12,0,1,1.5441346707112662e-06
12,0,2,2.2881151721671617e-06
12,0,3,3.397138839917463e-06
12,0,4,4.251660784265559e-06
12,0,5,4.48494035798036e-06
12,0,6,4.014753418030267e-06
12,0,7,2.961790640734741e-06
12,0,8,1.6723705151890664e-06
12,0,9,6.717346068450748e-07
12,0,10,4.357390090618972e-07
12,0,11,9.91500306776962e-07
12,0,12,1.8113893290117652e-06
12,0,13,2.209273803779744e-06
12,0,14,2.0216164858740413e-06
12,0,15,1.8262875800445684e-06
12,0,16,2.4314793698407424e-06
12,0,17,3.951187740982513e-06
12,0,18,5.481139023507222e-06
12,0,19,5.751441944295605e-06
12,0,20,4.2891206888024975e-06
12,0,21,1.925595671808841e-06
