level_0,level_1,level_2,correct_data
4,2,24,1.3122349823785568e-05
5,0,0,2.4119257791580743e-06
5,0,1,-8.906722674444374e-07
5,0,2,-3.346451971836603e-06
5,0,3,-4.306076944477139e-06
5,0,4,-3.7396443633682178e-06
5,0,5,-2.0034002162207877e-06
5,0,6,1.5313102267909802e-07
5,0,7,1.8853117861808167e-06
5,0,8,2.5593097615744505e-06
5,0,9,2.3109880547628816e-06
5,0,10,1.9543535309095457e-06
5,0,11,2.503109900327174e-06
5,0,12,4.261981366497186e-06
5,0,13,6.677851442336684e-06
5,0,14,8.694015689291292e-06
5,0,15,9.672452286825734e-06
5,0,16,9.47874228158954e-06
5,0,17,8.264660696484679e-06
5,0,18,5.857560332488235e-06
5,0,19,2.089528820065279e-06
5,0,20,-2.7218655710339998e-06
5,0,21,-7.2316289501786805e-06
5,0,22,-9.851427750077882e-06
5,0,23,-9.764479327696997e-06
5,0,24,-7.77716352551674e-06
5,1,0,-6.3287335285076266e-06
5,1,1,-9.417559480695938e-06
5,1,2,-1.792216962133973e-05
5,1,3,-2.5181306784880257e-05
5,1,4,-2.536556604863056e-05
5,1,5,-1.836296751285668e-05
5,1,6,-9.881276639039092e-06
5,1,7,-6.438986843474012e-06
5,1,8,-9.84305457793071e-06
5,1,9,-1.5683417092947913e-05
5,1,10,-1.7252813525074173e-05
5,1,11,-1.1141874877056103e-05
5,1,12,-6.463457776496662e-08
5,1,13,9.46696396122819e-06
5,1,14,1.214610983788758e-05
5,1,15,7.713917263013007e-06
5,1,16,4.836890256453997e-07
5,1,17,-4.2895652498193485e-06
5,1,18,-4.373070689005898e-06
5,1,19,-1.5454134202810138e-06
5,1,20,3.356829943184767e-07
5,1,21,-1.3387615780941536e-06
5,1,22,-6.239969754674951e-06
5,1,23,-1.1778186483728682e-05
5,1,24,-1.550008478621147e-05
5,2,0,-2.4891862638313134e-06
5,2,1,-1.6501519230915516e-06
5,2,2,-2.2687463908106477e-06
5,2,3,-4.443117789192948e-06
5,2,4,-6.511745693104276e-06
5,2,5,-6.130336351306532e-06
5,2,6,-2.4283532546052257e-06
5,2,7,2.9561634150320794e-06
5,2,8,6.885545838315721e-06
5,2,9,7.331652268587085e-06
5,2,10,4.969325601830341e-06
5,2,11,2.50466095261469e-06
5,2,12,2.1437021451878676e-06
5,2,13,3.927532147234784e-06
5,2,14,6.137679975435956e-06
5,2,15,7.350932828956212e-06
5,2,16,7.477569417926584e-06
5,2,17,7.195575124471635e-06
5,2,18,6.425853739784712e-06
5,2,19,4.23803218785535e-06
5,2,20,8.479980364369109e-08
5,2,21,-4.773461549310371e-06
5,2,22,-7.878719888217297e-06
5,2,23,-7.461822062627553e-06
5,2,24,-4.108966884197173e-06
6,0,0,-1.7816504889111103e-06
6,0,1,-1.2709174560065651e-06
6,0,2,-3.386242547531035e-07
6,0,3,1.0570624156743273e-06
6,0,4,2.5204550559420886e-06
6,0,5,3.399924804129448e-06
6,0,6,3.1502332163776557e-06
6,0,7,2.047355732014581e-06
6,0,8,9.223002190182947e-07
6,0,9,6.657087041339503e-07
6,0,10,1.3422162028208458e-06
6,0,11,2.3423767182771367e-06
6,0,12,2.803978028114557e-06
