level_0,level_1,level_2,correct_data
6,1,8,5.075730298959355e-06
6,1,9,4.934338795323316e-06
6,1,10,8.120972900591385e-06
6,1,11,1.2558099302397655e-05
6,1,12,1.4978564509336863e-05
6,1,13,1.37605197100605e-05
6,1,14,1.023316669276046e-05
6,1,15,7.0533912690396035e-06
6,1,16,5.894810325644877e-06
6,1,17,6.359068451444706e-06
6,1,18,7.225584812098514e-06
6,1,19,7.876392309341836e-06
6,1,20,8.805906094745263e-06
6,1,21,1.0539895604493401e-05
6,1,22,1.2818916193305194e-05
6,1,23,1.4594923631305596e-05
6,1,24,1.5165102603045886e-05
7,0,0,-7.4092911030618994e-06
7,0,1,-6.117304383429576e-06
7,0,2,-4.082152069606289e-06
7,0,3,-1.8998406004602547e-06
7,0,4,-1.0653320873228955e-07
7,0,5,1.3770658575248005e-06
7,0,6,2.918419748143959e-06
7,0,7,4.617794616622583e-06
7,0,8,5.869500542908914e-06
7,0,9,5.830831737996364e-06
7,0,10,4.079004126497605e-06
7,0,11,1.1668867219834936e-06
7,0,12,-1.7495809776529625e-06
7,0,13,-3.5779529376861138e-06
7,0,14,-4.042394053822666e-06
7,0,15,-3.6182799333636445e-06
7,0,16,-3.1812771813948025e-06
7,0,17,-3.3141314400370254e-06
7,0,18,-4.155638151210928e-06
7,0,19,-5.352026789921734e-06
7,0,20,-6.475297510488665e-06
7,0,21,-7.098961319852042e-06
7,0,22,-7.025534537302843e-06
7,0,23,-6.162774026025443e-06
7,0,24,-4.679683913011049e-06
7,1,0,1.1229945979713586e-05
7,1,1,6.596872215671422e-06
7,1,2,2.460912437818105e-06
7,1,3,1.6016669417164947e-06
7,1,4,3.653433359302518e-06
7,1,5,5.809235240284132e-06
7,1,6,5.5572280789871215e-06
7,1,7,3.242637879454722e-06
7,1,8,1.5264040712359965e-06
7,1,9,2.839985105793235e-06
7,1,10,6.825404226972224e-06
7,1,11,1.0713715324103313e-05
7,1,12,1.1581569733382308e-05
7,1,13,8.92788679836894e-06
7,1,14,4.754241743188227e-06
7,1,15,1.878295762047853e-06
7,1,16,1.4717531704383906e-06
7,1,17,2.3894758116049808e-06
7,1,18,2.0251726102109638e-06
7,1,19,-1.5027282867055873e-06
7,1,20,-8.123154232716622e-06
7,1,21,-1.537064549832635e-05
7,1,22,-1.9824831110609037e-05
7,1,23,-1.8779636873373935e-05
7,1,24,-1.2212478213850081e-05
8,0,0,3.3132426818012093e-06
8,0,1,3.708232234890307e-06
8,0,2,3.608967071276598e-06
8,0,3,3.3505552481942653e-06
8,0,4,2.8002618327077373e-06
8,0,5,1.5743439014786873e-06
8,0,6,-3.2164246501432905e-07
8,0,7,-2.1819331193444593e-06
8,0,8,-2.9582874489902505e-06
8,0,9,-2.1127838723403788e-06
8,0,10,-1.278456030328219e-07
8,0,11,1.759494288151067e-06
8,0,12,2.498418180888696e-06
